NumeroVol,Origine,Destination,ClasseReservation,Net,Taxe
KL1771,AMS,BER,Z,948.00,104.95
KL1771,AMS,BER,Z,948.00,117.65
KL1771,AMS,BER,Z,1077.00,104.95
KL1771,AMS,BER,Z,1077.00,117.65
KL1771,AMS,BER,J,7316.00,158.77
KL1771,AMS,BER,J,7316.00,171.47
KL1771,AMS,BER,Y,3172.00,158.77
KL1771,AMS,BER,Y,3172.00,171.47
KL1771,AMS,BER,B,971.00,158.77
KL1771,AMS,BER,B,971.00,171.47
KL1771,AMS,BER,B,1031.00,158.77
KL1771,AMS,BER,B,1031.00,171.47
KL1771,AMS,BER,C,1699.00,158.77
KL1771,AMS,BER,C,1699.00,171.47
KL1771,AMS,BER,D,1063.00,158.77
KL1771,AMS,BER,D,1063.00,171.47
KL1771,AMS,BER,H,463.00,158.77
KL1771,AMS,BER,H,463.00,171.47
KL1771,AMS,BER,H,523.00,158.77
KL1771,AMS,BER,H,523.00,171.47
KL1771,AMS,BER,J,2672.00,158.77
KL1771,AMS,BER,J,2672.00,171.47
KL1771,AMS,BER,K,109.00,158.77
KL1771,AMS,BER,K,109.00,171.47
KL1771,AMS,BER,K,169.00,158.77
KL1771,AMS,BER,K,169.00,171.47
KL1771,AMS,BER,L,134.00,158.77
KL1771,AMS,BER,L,134.00,171.47
KL1771,AMS,BER,L,194.00,158.77
KL1771,AMS,BER,L,194.00,171.47
KL1771,AMS,BER,M,771.00,158.77
KL1771,AMS,BER,M,771.00,171.47
KL1771,AMS,BER,M,831.00,158.77
KL1771,AMS,BER,M,831.00,171.47
KL1771,AMS,BER,P,377.00,158.77
KL1771,AMS,BER,P,377.00,171.47
KL1771,AMS,BER,Q,370.00,158.77
KL1771,AMS,BER,Q,370.00,171.47
KL1771,AMS,BER,Q,430.00,158.77
KL1771,AMS,BER,Q,430.00,171.47
KL1771,AMS,BER,S,208.00,158.77
KL1771,AMS,BER,S,208.00,171.47
KL1771,AMS,BER,S,268.00,158.77
KL1771,AMS,BER,S,268.00,171.47
KL1771,AMS,BER,T,166.00,158.77
